index,Zip Code Tabulation Area,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Population 25 and Over,Rate 25 and Over w/ less than 1st grade,Rate 25 and Over w/ Some or Completed Elementary School,Rate 25 and Over w/ Some or Completed Middle School,Rate 25 and Over w/ Some or Completed High School or Equivalent,"Rate 25 and Over w/ Some college, less than 1 year","Rate 25 and Over w/ Some college, 1 or more years",Rate 25 and Over w/ Associate's degree,Rate 25 and Over w/ Bachelor's degree,Rate 25 and Over w/ Master's degree,Rate 25 and Over w/ Professional school degree,Rate 25 and Over w/ Doctorate degree
28249,81410,1483,59.7,51146,25834,0.214430209,1174,0,0,0.068143101,0.372231687,0.042589438,0.211243612,0.095400341,0.142248722,0.051107325,0.017035775,0
28251,81413,4988,56,48119,26212,0.189053729,3743,0.002137323,0,0.012556773,0.353459792,0.077477959,0.133849853,0.114881111,0.15655891,0.096981031,0.045418114,0.006679134
28252,81415,1506,49,69375,33241,0.047808765,1019,0,0,0.019627085,0.405299313,0.088321884,0.228655545,0.054955839,0.132482826,0.070657507,0,0
28253,81416,14273,41.9,42176,20620,0.183843621,10139,0.017161456,0.012427261,0.021402505,0.503797219,0.073281389,0.142420357,0.065391064,0.113226156,0.04388993,0.005030082,0.001972581
28254,81418,1736,49.5,41838,29024,0.165322581,1318,0.005311077,0.006828528,0.013657056,0.432473445,0.075872534,0.17754173,0.14339909,0.101669196,0.030349014,0.004552352,0.008345979
28255,81419,3852,49.3,42043,26766,0.130321911,2901,0.003102378,0.011030679,0.001034126,0.475698035,0.106859704,0.14546708,0.055498104,0.163047225,0.02688728,0.011375388,0
28256,81422,691,40.2,42000,22358,0.134587554,516,0.007751938,0,0.032945736,0.501937984,0.09496124,0.120155039,0.060077519,0.11627907,0.054263566,0.011627907,0
28257,81423,1751,39.4,58864,29643,0.079954312,1261,0,0,0.013481364,0.288659794,0.022997621,0.279936558,0.069785884,0.233941316,0.08406027,0.007137193,0
28258,81424,1000,52.5,50676,29227,0.132,761,0,0.003942181,0.009198423,0.5282523,0.027595269,0.183968463,0.045992116,0.082785808,0.111695138,0.006570302,0
28259,81425,5582,38,43819,19524,0.189000358,3690,0.017073171,0.027913279,0.032249322,0.510298103,0.05501355,0.149593496,0.067208672,0.102439024,0.030352304,0.007859079,0
28260,81426,141,46.1,92000,37711,0,92,0,0,0,0.010869565,0,0.206521739,0.152173913,0.445652174,0.184782609,0,0
28261,81427,1039,52.1,61413,35279,0.141482194,837,0,0,0,0.266427718,0.015531661,0.237753883,0.0609319,0.189964158,0.192353644,0.037037037,0
28262,81428,3272,52.4,46250,33674,0.13905868,2462,0.004467912,0,0.002843217,0.365150284,0.020308692,0.217303006,0.062550772,0.197400487,0.09301381,0.032493907,0.004467912
28264,81430,711,56.2,61346,58536,0.054852321,595,0,0,0,0.099159664,0,0.166386555,0.050420168,0.465546218,0.176470588,0.028571429,0.013445378
28265,81431,364,51.7,48875,34941,0,329,0,0,0,0.522796353,0,0.188449848,0.085106383,0.167173252,0.027355623,0.009118541,0
28266,81432,2998,53.4,62232,37283,0.100400267,2424,0,0,0,0.169966997,0.04950495,0.207508251,0.073019802,0.301980198,0.142326733,0.038366337,0.017326733
